Polymer,T_K,P_Mpa,exp_CO2_sol_g_g,pred_CO2_sol_g_g,train/test
PBS,323.15,1.025,0.00984,0.00987,train
PBS,323.15,2.209,0.02063,0.02061,train
PBS,323.15,3.068,0.02826,0.02828,train
PBS,323.15,4.245,0.03879,0.03877,train
PBS,323.15,6.272,0.05681,0.05677,train
PBS,323.15,8.008,0.07300,0.07301,train
PBS,323.15,10.129,0.10760,0.10754,train
PBS,353.15,1.148,0.00876,0.00872,train
PBS,353.15,2.103,0.01523,0.01524,train
PBS,353.15,3.158,0.02243,0.02237,train
PBS,353.15,4.218,0.02961,0.02964,train
PBS,353.15,6.169,0.04332,0.04339,train
PBS,353.15,8.05,0.05601,0.05597,train
PBS,393.15,4.141,0.03776,0.03776,train
PBS,393.15,8.076,0.07357,0.07352,train
PBS,393.15,8.928,0.08130,0.08138,train
PBS,393.15,12.076,0.10980,0.10978,train
PBS,393.15,12.606,0.11460,0.11457,train
PBS,393.15,16.544,0.14810,0.14815,train
PBS,393.15,19.987,0.17610,0.17605,train
PBS,423.15,2.221,0.01501,0.01509,train
PBS,423.15,2.935,0.01993,0.01994,train
PBS,423.15,4.705,0.03216,0.03214,train
PBS,423.15,6.035,0.04145,0.04139,train
PBS,423.15,6.572,0.04529,0.04532,train
PBS,423.15,8.242,0.05710,0.05713,train
PBS,423.15,8.696,0.06041,0.06036,train
PBS,423.15,12.036,0.08309,0.08320,train
PBS,423.15,12.572,0.08733,0.08725,train
PBS,423.15,16.038,0.11070,0.11067,train
PBS,423.15,16.541,0.11390,0.11388,train
PBS,423.15,20.095,0.13550,0.13556,train
PBS,453.15,2.133,0.01192,0.01188,train
PBS,453.15,2.798,0.01566,0.01570,train
PBS,453.15,4.627,0.02604,0.02609,train
PBS,453.15,6.626,0.03736,0.03730,train
PBS,453.15,8.037,0.04534,0.04540,train
PBS,453.15,8.57,0.04840,0.04844,train
PBS,453.15,12.007,0.06830,0.06821,train
PBS,453.15,12.592,0.07153,0.07161,train
PBS,453.15,16.071,0.09082,0.09090,train
PBS,453.15,16.574,0.09367,0.09363,train
PBS,453.15,20.144,0.11260,0.11255,train
PBSA,323.15,1.098,0.01259,0.01259,train
PBSA,323.15,2.097,0.02418,0.02416,train
PBSA,323.15,3.065,0.03559,0.0356,train
PBSA,323.15,4.053,0.04749,0.04749,train
PBSA,323.15,7.87,0.1036,0.10359,train
PBSA,393.15,2.082,0.01839,0.01839,train
PBSA,393.15,2.581,0.02285,0.02286,train
PBSA,393.15,4.028,0.03591,0.0359,train
PBSA,393.15,4.61,0.04122,0.04122,train
PBSA,393.15,6.2,0.05578,0.05579,train
PBSA,393.15,6.681,0.0602,0.06019,train
PBSA,393.15,11.997,0.1084,0.1084,train
PBSA,393.15,12.46,0.1127,0.11271,train
PBSA,393.15,16.024,0.1423,0.14233,train
PBSA,393.15,16.548,0.1467,0.14668,train
PBSA,393.15,20.036,0.1741,0.17409,train
PBSA,423.15,2.102,0.01451,0.01452,train
PBSA,423.15,2.676,0.01851,0.0185,train
PBSA,423.15,4.118,0.02863,0.02863,train
PBSA,423.15,4.684,0.03263,0.03264,train
PBSA,423.15,6.098,0.04264,0.04262,train
PBSA,423.15,6.7,0.04692,0.04693,train
PBSA,423.15,8.177,0.05749,0.0575,train
PBSA,423.15,8.699,0.06117,0.06118,train
PBSA,423.15,12.314,0.08649,0.08649,train
PBSA,423.15,16.027,0.1115,0.11146,train
PBSA,423.15,16.572,0.115,0.11502,train
PBSA,453.15,4.126,0.02357,0.02359,train
PBSA,453.15,4.698,0.02689,0.02689,train
PBSA,453.15,6.07,0.03485,0.03485,train
PBSA,453.15,8.259,0.04763,0.04761,train
PBSA,453.15,8.973,0.0515,0.05149,train
PBSA,453.15,12.009,0.0692,0.06922,train
PBSA,453.15,12.766,0.07349,0.07349,train
HDPE,453.15,20.127,0.11360,0.11361,train
HDPE,433.2,11.066,0.07470,0.07469,train
HDPE,433.2,13.644,0.09750,0.09751,train
HDPE,433.2,15.286,0.11420,0.11419,train
HDPE,433.2,17.453,0.13200,0.13199,train
HDPE,453.2,11.326,0.06710,0.06710,train
HDPE,453.2,14.013,0.08900,0.08899,train
HDPE,453.2,15.762,0.10050,0.10049,train
HDPE,453.2,16.896,0.10940,0.10941,train
HDPE,453.2,18.123,0.11980,0.11980,train
HDPE,473.2,6.608,0.03190,0.03190,train
HDPE,473.2,10.731,0.0551,0.05511,train
HDPE,473.2,13.344,0.0746,0.07458,train
HDPE,473.2,15.034,0.0873,0.0873,train
PBS,353.15,10.451,0.0725,0.09054,test
PBS,393.15,2.351,0.02174,0.02088,test
PBS,393.15,2.947,0.02708,0.02719,test
PBS,393.15,4.725,0.04308,0.03993,test
PBS,393.15,6.06,0.05521,0.04903,test
PBS,393.15,6.599,0.06014,0.05455,test
PBS,393.15,16.035,0.144,0.12873,test
PBS,423.15,4.065,0.02777,0.03041,test
PBS,453.15,4.132,0.02315,0.02655,test
PBS,453.15,6.039,0.03411,0.03678,test
PBSA,323.15,6.016,0.07364,0.06266,test
PBSA,323.15,9.844,0.1503,0.11252,test
PBSA,393.15,8.053,0.0728,0.07409,test
PBSA,393.15,8.63,0.07814,0.07685,test
PBSA,423.15,20.074,0.1374,0.12956,test
PBSA,453.15,2.079,0.01184,0.00909,test
PBSA,453.15,2.6,0.01483,0.01096,test
PBSA,453.15,6.628,0.03809,0.04067,test
PBSA,453.15,16.139,0.09235,0.10597,test
HDPE,433.2,6.936,0.0407,0.04243,test
HDPE,433.2,16.347,0.123,0.12307,test
HDPE,453.2,7.055,0.035,0.03516,test
HDPE,473.2,17.019,0.1033,0.10766,test
PLGA,308,11.92,0.1968,0.16525,test
PLGA,308,21.44,0.2754,0.27987,test
PLGA,313,10.22,0.0945,0.14775,test
PLGA,313,22.99,0.2636,0.25098,test
PLGA,323,21.02,0.2339,0.23919,test
PLLA,308,12.12,0.3575,0.33174,test
PLLA,308,20.92,0.4139,0.40167,test
PLLA,313,10.44,0.245,0.2366,test
PLLA,313,22.98,0.4051,0.40961,test
PLLA,323,17.84,0.3538,0.36054,test
CPE55,306,4.68,0.0643,0.04529,test
CPE55,306,15.44,0.3145,0.25326,test
CPE55,306,31.02,0.6366,0.6155,test
CPE55,343,0.18,0.0191,0.01619,test
CPE55,343,2.41,0.0385,0.04658,test
CPE55,343,21.13,0.3645,0.34532,test
CPE60,306.2,4.09,0.0498,0.04539,test
CPE60,306.2,5.06,0.0793,0.05341,test
CPE60,306.2,10.15,0.1509,0.20559,test
CPE60,306.2,25.26,0.5467,0.55336,test
CPE60,344,15.19,0.2184,0.29166,test
CPE60,344,20.11,0.3652,0.39427,test
CPE67,309.2,0.13,0.0049,0.00999,test
CPE67,309.2,0.6,0.0093,0.01199,test
CPE67,309.2,10.38,0.1281,0.17697,test
CPE67,309.2,15.09,0.3023,0.23091,test
CPE67,309.2,31,0.5895,0.58258,test
CPE67,343.3,28.14,0.4444,0.45435,test
PPO(H),373.15,10.111,0.0933,0.08613,test
PPO(H),373.15,11.965,0.10601,0.08541,test
PPO(H),373.15,13.935,0.12026,0.11179,test
PPO(H),423.15,6.101,0.03696,0.04422,test
PPO(H),473.15,8.085,0.03423,0.03731,test
PPO(H),473.15,12.078,0.05263,0.0565,test
PPO(L),373.15,8.051,0.07938,0.06808,test
PPO(L),423.15,8.133,0.04573,0.03679,test
PPO(L),473.15,6.12,0.02474,0.02945,test
PPO(L),473.15,12.122,0.05048,0.06355,test
PS,373.2,14.348,0.0929,0.07713,test
PS,373.2,17.476,0.1104,0.10221,test
PS,413.2,10.721,0.0526,0.05884,test
PS,413.2,14.738,0.0713,0.07317,test
PS,413.2,20.036,0.1012,0.1038,test
PS,453.2,2.472,0.0094,0.00824,test
PS,453.2,10.188,0.0389,0.06157,test
PS,453.2,15.444,0.0596,0.06573,test
PS,338.22,11.96,0.10614,0.09588,test
PS,338.22,16.54,0.13902,0.12857,test
PS,362.5,8.09,0.06231,0.06303,test
PS,362.5,11.47,0.08762,0.07917,test
PS,383.22,6.55,0.03597,0.03132,test
PS,383.22,20.42,0.10514,0.09791,test
PS,402.51,33.05,0.1349,0.1337,test
PS,373.15,8.585,0.05329,0.06037,test
PS,373.15,12.631,0.07721,0.06201,test
PS,423.15,12.046,0.04963,0.06572,test
PS,423.15,16.143,0.06446,0.0855,test
PVAc,313.15,0.459,0.01465,0.00552,test
PVAc,313.15,2.818,0.10387,0.12832,test
PVAc,313.15,5.916,0.27235,0.30903,test
PVAc,353.15,2.211,0.03992,0.0368,test
PVAc,373.15,10.194,0.17,0.22183,test
PVAc,373.15,17.449,0.29925,0.23766,test
PP,433.2,17.529,0.1587,0.14537,test
PP,453.2,14.889,0.1158,0.12753,test
PP,453.2,16.037,0.1324,0.13144,test
PP,353.2,5.04,0.0222,0.02822,test
PP,443.7,24.91,0.2617,0.25458,test
PP,464.2,4.97,0.0401,0.04472,test
PP,483.7,19.93,0.1752,0.17042,test
PP,483.7,24.91,0.2429,0.23472,test
PP,373.15,4.89,0.04682,0.05042,test
PP,373.15,6.31,0.06331,0.07011,test
PP,373.15,9.08,0.09261,0.09516,test
PP,373.15,11.76,0.12503,0.10834,test
PP,398.15,2.95,0.02373,0.03075,test
PP,398.15,5.66,0.04799,0.05782,test
PP,398.15,6.92,0.05994,0.04637,test
PP,398.15,8.1,0.07053,0.06267,test
PP,423.15,5.3,0.03768,0.02971,test
PLGA,308,10.14,0.1464,0.1464,train
PLGA,308,15.31,0.238,0.238,train
PLGA,308,18.4,0.2577,0.2577,train
PLGA,308,23.11,0.2794,0.2794,train
PLGA,308,26.21,0.288,0.288,train
PLGA,308,29.49,0.2929,0.2929,train
PLGA,308,31.47,0.2963,0.2963,train
PLGA,313,12.09,0.1666,0.1666,train
PLGA,313,15.3,0.2188,0.2188,train
PLGA,313,18.19,0.2407,0.2407,train
PLGA,313,20.61,0.2555,0.2555,train
PLGA,313,25.59,0.273,0.273,train
PLGA,313,28.46,0.2823,0.2823,train
PLGA,313,30.7,0.2876,0.2876,train
PLGA,323,12.43,0.0903,0.0903,train
PLGA,323,15.06,0.1793,0.1793,train
PLGA,323,19.3,0.2236,0.2236,train
PLGA,323,22.97,0.2445,0.2445,train
PLGA,323,24.07,0.2492,0.2492,train
PLGA,323,26.44,0.2588,0.2588,train
PLGA,323,28.1,0.2638,0.2638,train
PLGA,323,30.29,0.2702,0.2702,train
PLLA,308,9.62,0.2851,0.28509,train
PLLA,308,15.14,0.3874,0.38741,train
PLLA,308,18.53,0.4062,0.40621,train
PLLA,308,22.92,0.4199,0.41991,train
PLLA,308,25.55,0.4244,0.42439,train
PLLA,308,28.67,0.4264,0.42639,train
PLLA,308,30.29,0.4301,0.43014,train
PLLA,313,12.29,0.3258,0.32581,train
PLLA,313,15.69,0.3698,0.36982,train
PLLA,313,18.46,0.3864,0.38639,train
PLLA,313,21.06,0.3985,0.3985,train
PLLA,313,25.75,0.4125,0.4125,train
PLLA,313,28.28,0.4174,0.41744,train
PLLA,313,31.46,0.4228,0.42267,train
PLLA,323,10.73,0.1652,0.16521,train
PLLA,323,12.66,0.2534,0.25337,train
PLLA,323,15.65,0.3294,0.32939,train
PLLA,323,20.18,0.3718,0.37181,train
PLLA,323,22.46,0.384,0.38398,train
PLLA,323,25.31,0.3971,0.39711,train
PLLA,323,27.5,0.4044,0.4044,train
PLLA,323,29.9,0.4116,0.41158,train
CPE55,306,0.14,0.0003,0.00026,train
CPE55,306,0.69,0.0068,0.00698,train
CPE55,306,1.27,0.0188,0.01876,train
CPE55,306,2.25,0.0362,0.03617,train
CPE55,306,11.05,0.1399,0.13994,train
CPE55,306,13.04,0.2194,0.21938,train
CPE55,306,18.4,0.4086,0.40861,train
CPE55,306,19.95,0.4668,0.46676,train
CPE55,306,21.24,0.5037,0.50373,train
CPE55,306,22.15,0.5345,0.53445,train
CPE55,306,25.34,0.5878,0.58781,train
CPE55,306,28.6,0.6183,0.61826,train
CPE55,343,0.69,0.0237,0.02359,train
CPE55,343,1.3,0.0299,0.02996,train
CPE55,343,4.76,0.0553,0.05532,train
CPE55,343,10.37,0.0984,0.09831,train
CPE55,343,13.47,0.1556,0.15564,train
CPE55,343,16.2,0.2394,0.23935,train
CPE55,343,19,0.3214,0.32143,train
CPE55,343,23.62,0.3957,0.39566,train
CPE55,343,25.67,0.4149,0.41494,train
CPE55,343,25.98,0.4189,0.41887,train
CPE55,343,29.05,0.4461,0.44614,train
CPE55,343,31.02,0.4636,0.46357,train
CPE60,306.2,0.14,0.0023,0.00236,train
CPE60,306.2,0.5,0.004,0.00415,train
CPE60,306.2,1.12,0.0117,0.01175,train
CPE60,306.2,1.99,0.0272,0.02712,train
CPE60,306.2,12.04,0.2723,0.27217,train
CPE60,306.2,14.89,0.3694,0.3694,train
CPE60,306.2,17.88,0.4535,0.4533,train
CPE60,306.2,19.8,0.4887,0.48853,train
CPE60,306.2,22.73,0.5316,0.5317,train
CPE60,306.2,28.05,0.5613,0.56072,train
CPE60,306.2,29.88,0.5684,0.5686,train
CPE60,344,0.24,0.0032,0.00315,train
CPE60,344,0.56,0.0033,0.00338,train
CPE60,344,1.06,0.0092,0.00903,train
CPE60,344,2.02,0.0165,0.01653,train
CPE60,344,3.98,0.0361,0.03619,train
CPE60,344,5.09,0.0475,0.04735,train
CPE60,344,10.33,0.1421,0.1421,train
CPE60,344,12.07,0.1626,0.16269,train
CPE60,344,18.1,0.314,0.3141,train
CPE60,344,23.31,0.4154,0.41526,train
CPE60,344,24.95,0.4351,0.43537,train
CPE60,344,28.13,0.4671,0.46712,train
CPE60,344,29.91,0.4833,0.48324,train
CPE67,309.2,0.99,0.0105,0.0105,train
CPE67,309.2,2.19,0.0303,0.0303,train
CPE67,309.2,4.1,0.0416,0.0416,train
CPE67,309.2,5.22,0.0748,0.0748,train
CPE67,309.2,12.42,0.2278,0.2278,train
CPE67,309.2,18.01,0.359,0.359,train
CPE67,309.2,21.35,0.4458,0.4458,train
CPE67,309.2,23.53,0.4838,0.4838,train
CPE67,309.2,26.05,0.5436,0.5436,train
CPE67,309.2,28.73,0.5812,0.5812,train
CPE67,343.3,0.25,0.0008,0.0008,train
CPE67,343.3,0.62,0.0031,0.0031,train
CPE67,343.3,1.3,0.0093,0.0093,train
CPE67,343.3,1.96,0.0138,0.0138,train
CPE67,343.3,4.74,0.0402,0.0402,train
CPE67,343.3,11.62,0.1296,0.1296,train
CPE67,343.3,14.8,0.2071,0.2071,train
CPE67,343.3,16.5,0.2611,0.2611,train
CPE67,343.3,18.43,0.3163,0.3163,train
CPE67,343.3,20.27,0.3487,0.3487,train
CPE67,343.3,22.21,0.383,0.383,train
CPE67,343.3,25,0.4151,0.4151,train
CPE67,343.3,30.43,0.4623,0.4623,train
PPO(H),373.15,2.058,0.03583,0.03675,train
PPO(H),373.15,4.003,0.05389,0.05327,train
PPO(H),373.15,6.095,0.06887,0.06965,train
PPO(H),373.15,8.1,0.08128,0.08098,train
PPO(H),373.15,15.993,0.13747,0.13592,train
PPO(H),373.15,17.933,0.15604,0.15981,train
PPO(H),373.15,20.006,0.17442,0.17455,train
PPO(H),423.15,1.983,0.01508,0.01508,train
PPO(H),423.15,4.105,0.02725,0.02755,train
PPO(H),423.15,8.056,0.04548,0.04536,train
PPO(H),423.15,10.061,0.05595,0.05556,train
PPO(H),423.15,12.108,0.06812,0.06845,train
PPO(H),423.15,14.078,0.0796,0.08012,train
PPO(H),423.15,16.098,0.09099,0.09131,train
PPO(H),423.15,18.076,0.10252,0.1007,train
PPO(H),423.15,20.076,0.11434,0.11357,train
PPO(H),473.15,2.179,0.00704,0.00665,train
PPO(H),473.15,4.142,0.01585,0.0153,train
PPO(H),473.15,6.174,0.02525,0.02587,train
PPO(H),473.15,10.082,0.04312,0.04357,train
PPO(H),473.15,14.063,0.06182,0.06084,train
PPO(H),473.15,16.032,0.07073,0.07065,train
PPO(H),473.15,18.106,0.08111,0.0819,train
PPO(H),473.15,20.208,0.09038,0.0911,train
PPO(L),373.15,2.125,0.0298,0.0298,train
PPO(L),373.15,4.118,0.04904,0.04904,train
PPO(L),373.15,6.098,0.06498,0.06498,train
PPO(L),373.15,12.043,0.11084,0.11084,train
PPO(L),373.15,16.023,0.14338,0.14338,train
PPO(L),373.15,19.964,0.18232,0.18232,train
PPO(L),423.15,2.15,0.01459,0.01459,train
PPO(L),423.15,4.15,0.02612,0.02612,train
PPO(L),423.15,6.04,0.0354,0.0354,train
PPO(L),423.15,12.121,0.06753,0.06753,train
PPO(L),423.15,16.077,0.09072,0.09072,train
PPO(L),473.15,2.097,0.00877,0.00877,train
PPO(L),473.15,4.155,0.01707,0.01707,train
PPO(L),473.15,8.048,0.03237,0.03237,train
PPO(L),473.15,16.072,0.06398,0.06398,train
PS,373.15,2.627,0.01613,0.01613,train
PS,373.15,16.059,0.09868,0.09868,train
PS,423.15,4.073,0.01709,0.01709,train
PS,423.15,8.071,0.0338,0.0338,train
PS,423.15,12.593,0.05179,0.05179,train
PS,473.15,2.884,0.00948,0.00948,train
PS,473.15,4.795,0.01573,0.01573,train
PS,473.15,8.813,0.02905,0.02905,train
PS,473.15,12.659,0.04129,0.04129,train
PS,373.2,3.617,0.0226,0.0226,train
PS,373.2,5.86,0.0359,0.0359,train
PS,373.2,7.921,0.0484,0.0484,train
PS,373.2,11.928,0.0781,0.0781,train
PS,373.2,15.908,0.1,0.1,train
PS,373.2,18.554,0.1157,0.1157,train
PS,413.2,7.29,0.0347,0.0347,train
PS,413.2,11.594,0.0602,0.0602,train
PS,413.2,11.994,0.058,0.058,train
PS,413.2,14.316,0.0727,0.0727,train
PS,413.2,16.11,0.0833,0.0833,train
PS,413.2,17.087,0.0857,0.0857,train
PS,413.2,18.097,0.0931,0.0931,train
PS,413.2,19.739,0.1048,0.1048,train
PS,453.2,6.276,0.0219,0.0219,train
PS,453.2,12.704,0.0513,0.0513,train
PS,453.2,14.379,0.057,0.057,train
PS,453.2,17.372,0.0687,0.0687,train
PS,338.22,3.71,0.03714,0.03714,train
PS,338.22,7.54,0.0746,0.0746,train
PS,338.22,10.25,0.0951,0.0951,train
PS,338.22,18.33,0.14661,0.14661,train
PS,338.22,24.52,0.1562,0.1562,train
PS,362.5,4.3,0.03763,0.03763,train
PS,362.5,14.15,0.10218,0.10218,train
PS,362.5,16.5,0.1214,0.1214,train
PS,362.5,18.92,0.13045,0.13045,train
PS,362.5,21.6,0.1388,0.1388,train
PS,362.5,24.65,0.14535,0.14535,train
PS,383.22,11.04,0.05807,0.05807,train
PS,383.22,14.51,0.0742,0.0742,train
PS,383.22,17.66,0.09269,0.09269,train
PS,383.22,23.55,0.11636,0.11636,train
PS,383.22,27.03,0.12311,0.12311,train
PS,383.22,30.61,0.13814,0.13814,train
PS,383.22,34.38,0.14421,0.14421,train
PS,383.22,38.63,0.15039,0.15039,train
PS,383.22,42.81,0.16056,0.16056,train
PS,402.51,5.14,0.01462,0.01462,train
PS,402.51,9.39,0.04411,0.04411,train
PS,402.51,21.48,0.096,0.096,train
PS,402.51,44.41,0.14829,0.14829,train
PS,373.15,2.068,0.01274,0.01274,train
PS,373.15,4.093,0.02529,0.02529,train
PS,373.15,4.629,0.02871,0.02871,train
PS,373.15,6.038,0.03753,0.03753,train
PS,373.15,6.502,0.0404,0.0404,train
PS,373.15,8.054,0.04983,0.04983,train
PS,373.15,12.105,0.07416,0.07416,train
PS,373.15,20.067,0.12184,0.12184,train
PS,423.15,2.159,0.00904,0.00904,train
PS,423.15,2.689,0.0113,0.0113,train
PS,423.15,4.732,0.01981,0.01981,train
PS,423.15,6.049,0.02532,0.02532,train
PS,423.15,6.53,0.02742,0.02742,train
PS,423.15,8.566,0.03588,0.03588,train
PS,473.15,2.167,0.00714,0.00714,train
PS,473.15,4.232,0.0139,0.0139,train
PS,473.15,6.108,0.02009,0.02009,train
PS,473.15,6.685,0.02199,0.02199,train
PS,473.15,8.027,0.02641,0.02641,train
PS,473.15,12.165,0.0396,0.0396,train
PS,473.15,16.04,0.05136,0.05136,train
PS,473.15,20.151,0.06231,0.06231,train
PVAc,313.15,0.199,0.00551,0.00552,train
PVAc,313.15,0.858,0.0282,0.02819,train
PVAc,313.15,1.271,0.04275,0.04276,train
PVAc,313.15,1.949,0.06822,0.06821,train
PVAc,313.15,2.375,0.08522,0.0852,train
PVAc,313.15,3.26,0.12354,0.12356,train
PVAc,313.15,3.589,0.13901,0.139,train
PVAc,313.15,3.979,0.15819,0.15817,train
PVAc,313.15,4.449,0.18274,0.18274,train
PVAc,313.15,4.978,0.21259,0.21261,train
PVAc,313.15,5.407,0.23865,0.23864,train
PVAc,313.15,6.375,0.30568,0.3057,train
PVAc,313.15,6.876,0.34692,0.3469,train
PVAc,333.15,2.263,0.05608,0.0561,train
PVAc,333.15,4.104,0.10855,0.10856,train
PVAc,333.15,6.01,0.17137,0.17134,train
PVAc,333.15,7.772,0.23926,0.23926,train
PVAc,333.15,9.694,0.33241,0.33239,train
PVAc,353.15,4.199,0.07959,0.07957,train
PVAc,353.15,6.11,0.12179,0.12179,train
PVAc,353.15,8.015,0.16724,0.16726,train
PVAc,353.15,9.876,0.2143,0.21431,train
PVAc,373.15,2.157,0.03051,0.0305,train
PVAc,373.15,6.389,0.09789,0.09788,train
PVAc,373.15,13.688,0.23768,0.23766,train
PP,433.2,7.4,0.0503,0.05014,train
PP,433.2,11.803,0.0948,0.09293,train
PP,433.2,14.558,0.1253,0.12493,train
PP,433.2,16.355,0.1451,0.14537,train
PP,453.2,5.419,0.0323,0.03084,train
PP,453.2,7.16,0.0441,0.04228,train
PP,453.2,8.797,0.0594,0.06081,train
PP,453.2,10.953,0.0787,0.07896,train
PP,453.2,11.558,0.0846,0.08177,train
PP,453.2,12.352,0.0917,0.09533,train
PP,453.2,14.342,0.1119,0.11364,train
PP,453.2,16.17,0.1306,0.13144,train
PP,453.2,17.376,0.1418,0.14283,train
PP,453.2,7.083,0.0417,0.04186,train
PP,453.2,11.443,0.0798,0.08021,train
PP,453.2,14.212,0.111,0.11364,train
PP,453.2,17.242,0.1427,0.14283,train
PP,473.2,6.204,0.0302,0.02208,train
PP,473.2,10.113,0.0601,0.06264,train
PP,473.2,12.637,0.083,0.09402,train
PP,473.2,14.296,0.0968,0.09994,train
PP,473.2,15.397,0.1086,0.1063,train
PP,313.2,5.02,0.0299,0.02848,train
PP,313.2,10.02,0.0542,0.05441,train
PP,333.2,5.03,0.0254,0.02657,train
PP,333.2,10.05,0.0475,0.04536,train
PP,353.2,10.03,0.043,0.04648,train
PP,373.2,5.03,0.0205,0.02033,train
PP,373.2,10.05,0.0395,0.04453,train
PP,393.2,5.07,0.0226,0.02149,train
PP,393.2,10.05,0.0438,0.0431,train
PP,443.7,4.96,0.0422,0.04279,train
PP,443.7,9.94,0.0851,0.08408,train
PP,443.7,14.94,0.1363,0.13274,train
PP,443.7,19.92,0.1938,0.19344,train
PP,464.2,9.96,0.0807,0.08126,train
PP,464.2,14.94,0.1301,0.12812,train
PP,464.2,19.93,0.185,0.1901,train
PP,464.2,24.91,0.2552,0.25263,train
PP,483.7,4.97,0.038,0.03992,train
PP,483.7,9.96,0.0761,0.07903,train
PP,483.7,14.93,0.1228,0.11748,train
PP,373.15,2.93,0.02618,0.02728,train
PP,373.15,3.81,0.03585,0.03553,train
PP,373.15,5.52,0.05674,0.05541,train
PP,373.15,7.44,0.0744,0.07656,train
PP,373.15,8.48,0.08489,0.0847,train
PP,373.15,9.57,0.09842,0.09787,train
PP,373.15,10.06,0.10655,0.10451,train
PP,373.15,10.73,0.11347,0.11308,train
PP,373.15,12.55,0.13699,0.13341,train
PP,398.15,4.12,0.0353,0.03357,train
PP,398.15,5.98,0.05188,0.05375,train
PP,398.15,10.07,0.09097,0.09069,train
PP,398.15,10.6,0.09443,0.09397,train
PP,398.15,12.19,0.11284,0.11336,train
PP,398.15,12.23,0.11381,0.11336,train
PP,398.15,13.41,0.12628,0.12368,train
PP,398.15,13.9,0.13306,0.1261,train
PP,423.15,4.39,0.03116,0.03203,train
PP,423.15,6.35,0.04747,0.04788,train
PP,423.15,7.46,0.05523,0.05611,train
PP,423.15,8.12,0.06208,0.06083,train
PP,423.15,8.5,0.06367,0.06293,train
PP,423.15,9.27,0.07058,0.06893,train
PP,423.15,10.75,0.0837,0.08521,train
PP,423.15,12.52,0.09894,0.10047,train
PP,423.15,13.62,0.11648,0.11939,train
PP,423.15,14.96,0.12981,0.1321,train
