Index,Polymer,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo,Sum_of_frags
145,alginate,37.37,50,ipa,23.5,10,30,13.3,0.062,653,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
146,alginate,37.37,50,ipa,23.5,12.6,30,13.3,0.068,340,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
147,alginate,37.37,50,ipa,23.5,12.6,40,13.3,0.072,243,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
148,alginate,37.37,50,ipa,23.5,20,30,13.3,0.075,189,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
149,alginate,37.37,50,ipa,23.5,12.6,50,13.3,0.08,174,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
150,alginate,37.37,50,ipa,23.5,12.6,60,13.3,0.084,140,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
151,alginate,37.37,50,ipa,23.5,12.6,70,13.3,0.087,109,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
152,alginate,37.37,50,ipa,23.5,30,30,13.3,0.087,85,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
153,alginate,37.37,50,ipa,23.5,40,30,13.3,0.127,38,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
154,alginate,37.37,50,ipa,23.5,50,30,13.3,0.133,25,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
155,alginate,37.37,62.5,ethanol,26.5,10,30,13.3,0.027,35,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
156,alginate,37.37,62.5,ethanol,26.5,20,30,13.3,0.04,12,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
157,alginate,37.37,62.5,ethanol,26.5,30,30,13.3,0.042,6,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
158,alginate,37.37,62.5,ipa,23.5,10,30,13.3,0.067,653,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
159,alginate,37.37,62.5,ipa,23.5,20,30,13.3,0.122,223,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
160,alginate,37.37,62.5,ipa,23.5,30,30,13.3,0.143,127,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
161,alginate,37.37,50,ipa,23.5,10,30,13.3,0.0679,653,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
162,alginate,37.37,50,ipa,23.5,20,30,13.3,0.1242,223,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
163,alginate,37.37,50,ipa,23.5,30,30,13.3,0.1701,127,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
164,alginate,37.37,50,ipa,23.5,40,30,13.3,0.2411,38,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
165,alginate,37.37,50,ipa,23.5,50,30,13.3,0.3536,25,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
166,alginate,37.37,50,ipa,23.5,10,30,13.3,0.062,653,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
167,alginate,37.37,50,ipa,23.5,20,30,13.3,0.085,223,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
168,alginate,37.37,50,ipa,23.5,10,40,13.3,0.107,355,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
169,alginate,37.37,50,ipa,23.5,30,30,13.3,0.109,127,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
170,alginate,37.37,50,ipa,23.5,10,50,13.3,0.121,285,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
171,alginate,37.37,50,ipa,23.5,30,40,13.3,0.122,56,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
172,alginate,37.37,50,ipa,23.5,20,40,13.3,0.131,118,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
173,alginate,37.37,50,ipa,23.5,40,30,13.3,0.145,38,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
174,alginate,37.37,50,ipa,23.5,20,50,13.3,0.157,93,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
175,alginate,37.37,50,ipa,23.5,50,30,13.3,0.177,25,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
176,alginate,37.37,50,ipa,23.5,30,50,13.3,0.182,34,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
177,alginate,37.37,50,ethanol,26.5,10,30,0.06,0.0391,24,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
178,alginate,37.37,50,ethanol,26.5,10,40,0.06,0.0531,17,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
179,alginate,37.37,50,ipa,23.5,10,30,0.06,0.0646,678,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
180,alginate,37.37,50,ethanol,26.5,10,50,0.06,0.0675,13,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
181,alginate,37.37,50,ethanol,26.5,10,60,0.06,0.0843,8,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
182,alginate,37.37,50,ipa,23.5,10,50,0.06,0.0849,278,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
183,alginate,37.37,50,ipa,23.5,10,40,0.06,0.0906,328,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
184,alginate,37.37,50,ipa,23.5,10,60,0.06,0.145,148,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
185,chitosan,55.1,40,ipa,23.5,5,30,13.3,0.032,422,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
186,chitosan,55.1,40,ipa,23.5,10,30,13.3,0.0478,171,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
187,chitosan,55.1,40,ipa,23.5,15,30,13.3,0.0649,66.115702,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
188,chitosan,55.1,40,ipa,23.5,20,30,13.3,0.0808,41.322314,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
189,chitosan,55.1,40,ipa,23.5,10,40,13.3,0.0863,104.8,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
190,chitosan,55.1,40,ipa,23.5,25,30,13.3,0.1043,24.793388,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
191,chitosan,55.1,40,ipa,23.5,30,30,13.3,0.1094,24.793388,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
192,chitosan,55.1,40,ipa,23.5,10,50,13.3,0.141,72.9,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
193,chitosan,55.1,40,ipa,23.5,5,30,13.3,0.0285,1469.849246,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
194,chitosan,55.1,40,ipa,23.5,10,30,13.3,0.0314,540.201005,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
195,chitosan,55.1,40,ipa,23.5,15,30,13.3,0.0537,175.879397,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
196,chitosan,55.1,40,ipa,23.5,20,30,13.3,0.0732,50.251256,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
197,chitosan,55.1,40,ipa,23.5,25,30,13.3,0.1031,50.251256,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
198,chitosan,55.1,40,ipa,23.5,5,30,13.3,0.0466,617.169374,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
199,chitosan,55.1,40,ipa,23.5,10,30,13.3,0.0731,265,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
200,chitosan,55.1,40,ipa,23.5,20,30,13.3,0.1079,97.447796,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
201,chitosan,55.1,40,ipa,23.5,10,40,13.3,0.1084,105,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
202,chitosan,55.1,40,ipa,23.5,10,50,13.3,0.1274,73,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
203,chitosan,55.1,40,ipa,23.5,10,60,13.3,0.1659,58,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
204,chitosan,55.1,40,ipa,23.5,30,30,13.3,0.1669,32.482599,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
205,chitosan,55.1,40,ipa,23.5,40,30,13.3,0.2152,32.482599,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
206,alginate,37.37,1.8,ethanol,26.5,10,45,1,0.2783,562.790698,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
207,alginate,37.37,1.8,ipa,23.5,10,45,1,0.3152,1974.883721,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
208,pva,74,1.8,ethanol,26.5,10,45,1,0.4028,235.348837,"[1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
209,alginate,37.37,1.8,n-butanol,23.1,10,45,1,0.4765,859.534884,"[1, 3, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
210,pva,74,1.8,ipa,23.5,10,45,1,0.4788,511.627907,"[2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
211,pva,74,1.8,n-butanol,23.1,10,45,1,0.624,573.023256,"[1, 4, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
212,ptmsp,100,20,n-butanol,23.1,99,25,2.7,0.0809,0.01393,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
213,ptmsp,100,20,n-butanol,23.1,98.5,25,2.7,0.0879,0.013592,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
214,ptmsp,100,20,n-butanol,23.1,98,25,2.7,0.102,0.012613,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
215,ptmsp,100,20,n-butanol,23.1,97.5,25,2.7,0.1329,0.012174,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
216,ptmsp,100,20,n-butanol,23.1,97,25,2.7,0.1596,0.012444,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
217,ptmsp,100,20,n-butanol,23.1,96.5,25,2.7,0.2003,0.012227,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
218,ptmsp,100,20,n-butanol,23.1,96,25,2.7,0.2466,0.012227,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
219,ptmsp,100,20,n-butanol,23.1,95.5,25,2.7,0.2972,0.012069,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
220,ptmsp,100,20,n-butanol,23.1,95,25,2.7,0.3646,0.011864,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
221,ptmsp,100,20,n-butanol,23.1,94.5,25,2.7,0.4348,0.011667,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
222,ptmsp,100,20,n-butanol,23.1,94,25,2.7,0.5191,0.011155,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
223,ptmsp,100,22,n-butanol,23.1,99,25,2.7,0.06,0.019231,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
224,ptmsp,100,22,n-butanol,23.1,98.5,25,2.7,0.06,0.018182,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
225,ptmsp,100,22,n-butanol,23.1,99.5,25,2.7,0.078,0.012821,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
226,ptmsp,100,22,n-butanol,23.1,99.7,25,2.7,0.124,0.019608,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
227,ptmsp,100,22,n-butanol,23.1,94,25,2.7,0.436,0.016393,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
228,ptmsp,100,22,n-butanol,23.1,99.7,70,2.7,0.762,0.021277,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
229,ptmsp,100,22,n-butanol,23.1,99.5,70,2.7,0.831,0.016129,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
230,ptmsp,100,22,n-butanol,23.1,99,70,2.7,0.999,0.014286,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
231,ptmsp,100,22,n-butanol,23.1,98.5,70,2.7,1.03,0.014286,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
232,ptmsp,100,22,n-butanol,23.1,94,70,2.7,1.512,0.02439,"[5, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
233,torlon,87.5,50,ipa,23.5,15,60,1,0.0082,2828,"[2, 0, 1, 6, 1, 0, 0, 2, 2, 5, 1, 0, 0, 0, 0]"
234,torlon,87.5,50,ethanol,26.5,15,60,1,0.0085,2155,"[1, 1, 0, 6, 1, 0, 0, 2, 2, 5, 1, 0, 0, 0, 0]"
235,torlon,87.5,50,n-butanol,23.1,15,60,1,0.0113,5661,"[1, 3, 0, 6, 1, 0, 0, 2, 2, 5, 1, 0, 0, 0, 0]"
236,p84,82.3,50,ipa,23.5,15,60,1,0.0152,5661,"[3, 1, 1, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
237,p84,82.3,50,n-butanol,23.1,15,60,1,0.018,5661,"[2, 4, 0, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
238,p84,82.3,50,ethanol,26.5,15,60,1,0.019,2822,"[2, 2, 0, 5, 1, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0]"
239,matrimid,91.2,50,ipa,23.5,15,60,1,0.0247,1368,"[5, 1, 1, 5, 1, 2, 0, 0, 2, 4, 0, 0, 0, 0, 0]"
240,matrimid,91.2,50,n-butanol,23.1,15,60,1,0.0248,5661,"[4, 4, 0, 5, 1, 2, 0, 0, 2, 4, 0, 0, 0, 0, 0]"
241,matrimid,91.2,50,ethanol,26.5,15,60,1,0.0256,505,"[4, 2, 0, 5, 1, 2, 0, 0, 2, 4, 0, 0, 0, 0, 0]"
242,peba,89,30,n-butanol,23.1,99.99241466,60,1,0.2708,0.026227,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
243,peba,89,30,n-butanol,23.1,99.98103666,60,1,0.3125,0.02849,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
244,peba,89,30,n-butanol,23.1,99.96839444,60,1,0.327,0.029308,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
245,peba,89,30,n-butanol,23.1,99.9494311,60,1,0.3599,0.029539,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
246,peba,89,30,n-butanol,23.1,99.80151707,60,1,0.4159,0.029539,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
247,peba,89,30,n-butanol,23.1,99.92667509,60,1,0.3932,0.029933,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
248,peba,89,30,n-butanol,23.1,99.89759798,60,1,0.4155,0.030669,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
249,peba,89,30,n-butanol,23.1,99.98988622,50,1,0.1459,0.031443,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
250,peba,89,30,n-butanol,23.1,99.8369153,60,1,0.4473,0.03162,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
251,peba,89,30,n-butanol,23.1,99.69279393,60,1,0.4877,0.03198,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
252,peba,89,30,n-butanol,23.1,99.59924147,60,1,0.5038,0.032256,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
253,peba,89,30,n-butanol,23.1,99.96839444,50,1,0.1833,0.03381,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
254,peba,89,30,n-butanol,23.1,99.988622,50,1,0.1839,0.035299,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
255,peba,89,30,n-butanol,23.1,99.94437421,50,1,0.2388,0.035748,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
256,peba,89,30,n-butanol,23.1,99.89380531,50,1,0.2986,0.037417,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
257,peba,89,30,n-butanol,23.1,99.77496839,50,1,0.3586,0.039248,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
258,peba,89,30,n-butanol,23.1,99.92667509,50,1,0.2495,0.039805,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
259,peba,89,30,n-butanol,23.1,99.84197219,50,1,0.3445,0.040089,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
260,peba,89,30,n-butanol,23.1,99.6182048,50,1,0.3887,0.040378,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
261,peba,89,30,n-butanol,23.1,99.67635904,50,1,0.3647,0.04067,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
262,peba,89,30,n-butanol,23.1,99.98230088,40,1,0.0534,0.042519,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
263,peba,89,30,n-butanol,23.1,99.96965866,40,1,0.1062,0.045445,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
264,peba,89,30,n-butanol,23.1,99.95828066,40,1,0.1269,0.046193,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
265,peba,89,30,n-butanol,23.1,99.70543616,40,1,0.2074,0.046193,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
266,peba,89,30,n-butanol,23.1,99.93426043,40,1,0.2044,0.049017,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
267,peba,89,30,n-butanol,23.1,99.94690265,40,1,0.1851,0.049232,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
268,peba,89,30,n-butanol,23.1,99.82300885,40,1,0.2181,0.049232,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
269,peba,89,30,n-butanol,23.1,99.89254109,40,1,0.1923,0.050112,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
270,peba,89,30,n-butanol,23.1,99.79519595,40,1,0.2573,0.052948,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
271,peba,89,30,n-butanol,23.1,99.58912769,40,1,0.3054,0.053708,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
272,peba,89,30,n-butanol,23.1,99.95069532,29,1,0.063,0.057861,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
273,peba,89,30,n-butanol,23.1,99.93046776,29,1,0.1157,0.063778,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
274,peba,89,30,n-butanol,23.1,99.91782554,29,1,0.1172,0.071497,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
275,peba,89,30,n-butanol,23.1,99.85208597,29,1,0.1167,0.077951,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
276,peba,89,30,n-butanol,23.1,99.8091024,29,1,0.1317,0.07961,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
277,peba,89,30,n-butanol,23.1,99.63211125,29,1,0.1562,0.07961,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
278,peba,89,30,n-butanol,23.1,99.70417193,29,1,0.1348,0.081341,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
279,peba,89,30,n-butanol,23.1,95.7,35,3.2,0.5704,0.033815,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
280,peba,89,30,n-butanol,23.1,97.5,35,3.2,0.2656,0.039522,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
281,peba,89,30,n-butanol,23.1,99.5,35,3.2,0.1576,0.057177,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
282,peba,89,5,n-butanol,23.1,99,40,3,1.620111732,0.042619,"[2, 17, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
